taz_id,n
1364,2
1365,8
1366,2
1367,7
1368,4
1369,0
1370,0
1371,0
1372,0
1373,0
1374,2
1375,5
1376,9
1377,13
1378,0
1379,0
1380,0
1381,6
1382,5
1383,19
1384,37
1385,25
1386,1
1414,25
1415,167
1416,113
1417,8
1418,0
1419,8
1420,0
1421,5
1422,4
1423,28
1424,54
1425,0
1426,18
1427,4
1428,34
1429,35
1430,33
1431,0
1432,49
1433,6
1434,75
1435,36
1436,54
1437,0
1438,43
1439,2
1440,12
1441,16
1442,66
1443,42
1444,86
1445,128
1446,24
1447,5
1448,1
1449,32
1450,23
1451,1
1452,8
1453,29
1454,0
1455,21
1456,7
1457,17
1458,20
1459,5
1460,13
1461,21
1462,19
1463,0
1464,0
1465,0
1466,1
1467,25
1468,114
1469,15
1470,55
1471,13
1472,8
1473,71
1474,54
1475,19
1476,6
1477,24
1478,10
1479,5
1480,25
1481,20
1482,20
1483,54
1484,5
1485,22
1486,14
1487,42
1488,26
1489,9
1490,2
1491,14
1492,3
1493,4
1494,10
1495,49
1496,24
1497,18
1498,0
1499,12
1500,7
1501,21
1502,0
1503,0
1504,24
1505,30
1506,46
1507,29
1508,15
1509,16
1510,30
1511,13
1512,6
1513,4
1514,6
1515,6
1516,1
1517,12
1518,3
1519,0
1520,0
1521,0
1522,14
1523,5
1524,6
1525,0
1526,3
1527,4
1528,1
1529,0
1530,5
1531,0
1532,5
1533,0
1534,16
1535,0
1536,1
1537,10
1538,14
1539,54
1540,68
1541,106
1542,0
1543,86
1544,17
1545,30
1546,6
1547,30
1548,0
1549,14
1550,12
1551,5
1552,9
1553,11
1554,3
1555,14
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,4
1566,4
1567,32
1568,0
1569,0
1570,4
1571,5
1572,1
1573,4
1574,2
1575,0
1576,2
1577,0
1578,0
1579,54
1580,16
1581,7
1582,16
1583,0
1584,0
1585,0
1586,7
1587,26
1588,0
1589,2
1590,55
1591,66
1592,32
1593,6
1594,30
1595,2
1596,9
1597,0
1598,0
1599,3
1600,11
1601,24
1602,29
1603,30
1604,17
1605,8
1606,41
1607,32
1608,7
1609,4
1610,16
1611,11
1612,0
1613,7
1614,0
1615,0
1616,0
1617,0
1618,0
1619,1
1620,0
1621,0
1622,0
1623,2
1624,13
1625,0
1626,0
1627,0
1628,0
1629,3
1630,0
1631,0
1632,8
1633,0
1634,0
1635,29
1636,0
1637,1
1638,13
1639,30
1640,27
1641,9
1642,11
1643,65
1644,88
1645,11
1646,13
1647,0
1648,8
1649,14
1650,0
1651,3
1652,23
1653,47
1654,26
1655,4
1656,109
1657,24
1658,24
1659,22
1660,51
1661,12
1662,48
1663,65
1664,3
1665,2
1666,10
1667,3
1668,0
1669,20
1670,8
1671,27
1672,8
1673,6
1674,26
1675,11
1676,14
1677,4
1678,13
1679,0
1680,0
1681,0
1682,7
1683,10
1684,4
1685,5
1686,6
1687,0
1688,8
1689,20
1690,5
1691,0
1692,0
1693,0
1694,7
1695,7
1696,3
1697,4
1698,15
1699,0
1700,0
1701,3
1702,2
1703,2
1728,7
1729,7
1730,0
1731,22
1792,1
1793,0
1794,0
1795,1
1796,1
1797,5
1798,0
1799,0
1800,0
1801,0
1802,2
1803,7
1804,19
1805,20
1806,11
1807,4
1808,0
1809,1
1810,16
1811,0
1812,0
1813,8
1814,1
1815,11
1816,7
1817,6
1818,9
1819,1
1820,4
1821,0
1822,6
1823,17
1824,10
1825,0
1826,10
1827,4
1828,0
1829,2
1830,0
1831,6
1832,10
1833,6
1834,3
1835,14
1836,9
1837,13
1838,1
1839,3
1840,0
1841,0
1842,0
1843,0
1844,7
1845,5
1846,2
1847,0
1848,6
1849,2
1850,9
1851,24
1852,9
1853,10
1854,11
1855,0
1856,21
1857,1
1858,10
1859,6
1860,15
1861,17
1862,58
1863,4
1864,4
1865,0
1866,0
1867,7
1868,55
1869,16
1870,6
1871,9
1872,57
1883,6
1884,6
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1902,0
1903,0
1904,1
1905,2
1906,19
1907,37
1908,34
1909,20
1910,20
1911,14
1912,26
1913,22
1914,11
1915,18
1916,32
1917,0
1918,84
1919,64
1920,38
1921,17
1922,41
1923,90
1924,23
1925,12
1926,0
1927,5
1928,5
1929,0
1930,7
1931,27
1932,16
1933,4
1934,18
1935,15
1936,9
1937,14
1938,53
1939,10
1940,69
1941,68
1942,30
1943,3
1944,1
1945,54
1946,24
2190,52
2191,19
2192,0
2193,15
2194,11
2195,7
2196,28
2197,0
2198,5
2199,76
2200,33
2201,91
2202,37
2203,11
2204,34
2225,55
2226,77
2227,80
2248,1
2249,4
2250,5
2251,0
2252,3
2253,0
2254,2
2255,0
2256,11
2257,15
2258,0
2259,9
2260,2
2261,0
2262,2
2263,0
2264,0
2265,0
2266,0
2267,5
2268,0
2269,9
2270,13
2271,1
2272,2
2273,0
2274,0
2275,1
2276,14
2277,19
2278,0
2279,0
2280,2
2281,4
2282,0
2283,5
2284,33
2285,3
2286,13
2287,12
2288,14
2289,1
2290,0
2291,3
2292,8
2293,0
2294,4
2295,63
2296,63
2297,3
2298,28
2299,25
2300,66
2301,45
2341,0
2342,10
2343,0
2344,15
2345,15
2346,0
2347,11
2348,5
2349,9
2350,0
2351,9
2352,11
2353,3
2354,8
2355,11
2356,4
2357,28
2358,12
2359,18
2360,15
2361,0
2362,2
2363,11
2364,5
2365,6
2366,8
2367,10
2368,0
2369,3
2370,7
2371,3
2372,16
2373,19
2374,1
2375,4
2376,0
2377,3
2378,0
2379,18
2380,4
2381,0
2382,0
2383,6
2384,0
2385,0
2386,0
2387,6
2388,0
2389,0
2390,2
2391,6
2392,3
2393,14
2394,2
2395,9
2396,0
2417,0
2418,14
2419,57
2420,1
2421,42
2422,4
2423,0
2424,2
2425,37
2456,32
2457,21
2458,3
2459,15
2460,69
2461,17
2462,29
2636,63
2637,52
2638,20
2639,18
2640,1
2641,5
2642,11
2643,5
2644,4
2645,3
